exec_id,run_id,config,exit_code,started_at,finished_at,log,status
"unicycle_fwd_1000__2026-02-26T04-38-40+00-00","unicycle_fwd_1000","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/2_unicycle_1000.toml","0","2026-02-26T04:38:40+00:00","2026-02-26T00:31:09-08:00","logs/transcripts/unicycle_fwd_1000__2026-02-26T04-38-40+00-00.log","logs/status/unicycle_fwd_1000__2026-02-26T04-38-40+00-00.status"
"unicycle_fwd_250__2026-02-26T08-31-09+00-00","unicycle_fwd_250","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/2_unicycle_250.toml","0","2026-02-26T08:31:09+00:00","2026-02-26T03:06:25-08:00","logs/transcripts/unicycle_fwd_250__2026-02-26T08-31-09+00-00.log","logs/status/unicycle_fwd_250__2026-02-26T08-31-09+00-00.status"
"unicycle_fwd_500__2026-02-26T11-06-25+00-00","unicycle_fwd_500","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/2_unicycle_500.toml","0","2026-02-26T11:06:25+00:00","2026-02-26T04:26:29-08:00","logs/transcripts/unicycle_fwd_500__2026-02-26T11-06-25+00-00.log","logs/status/unicycle_fwd_500__2026-02-26T11-06-25+00-00.status"
"att_fwd_128__2026-02-26T12-26-29+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_10.toml","1","2026-02-26T12:26:29+00:00","2026-02-26T05:40:16-08:00","logs/transcripts/att_fwd_128__2026-02-26T12-26-29+00-00.log","logs/status/att_fwd_128__2026-02-26T12-26-29+00-00.status"
"att_fwd_128__2026-02-26T13-40-16+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_11.toml","1","2026-02-26T13:40:16+00:00","2026-02-26T06:54:29-08:00","logs/transcripts/att_fwd_128__2026-02-26T13-40-16+00-00.log","logs/status/att_fwd_128__2026-02-26T13-40-16+00-00.status"
"att_fwd_128__2026-02-26T14-54-29+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_12.toml","130","2026-02-26T14:54:29+00:00","2026-02-26T07:16:34-08:00","logs/transcripts/att_fwd_128__2026-02-26T14-54-29+00-00.log","logs/status/att_fwd_128__2026-02-26T14-54-29+00-00.status"
