exec_id,run_id,config,exit_code,started_at,finished_at,log,status
"unicycle_fwd_1000__2026-02-25T23-41-22+00-00","unicycle_fwd_1000","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/2_unicycle_1000.toml","0","2026-02-25T23:41:22+00:00","2026-02-25T18:17:29-08:00","logs/transcripts/unicycle_fwd_1000__2026-02-25T23-41-22+00-00.log","logs/status/unicycle_fwd_1000__2026-02-25T23-41-22+00-00.status"
"unicycle_fwd_250__2026-02-26T02-17-29+00-00","unicycle_fwd_250","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/2_unicycle_250.toml","130","2026-02-26T02:17:29+00:00","2026-02-25T20:37:06-08:00","logs/transcripts/unicycle_fwd_250__2026-02-26T02-17-29+00-00.log","logs/status/unicycle_fwd_250__2026-02-26T02-17-29+00-00.status"
"unicycle_fwd_500__2026-02-26T04-37-06+00-00","unicycle_fwd_500","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/2_unicycle_500.toml","130","2026-02-26T04:37:06+00:00","2026-02-25T20:37:08-08:00","logs/transcripts/unicycle_fwd_500__2026-02-26T04-37-06+00-00.log","logs/status/unicycle_fwd_500__2026-02-26T04-37-06+00-00.status"
